sample_id,rep,idle_prob,follow_prob,perc_scouts,kappa_0,alpha,beta,w_dir,time_to_depletion,time_to_first_nectar,success
0,0,0.28508717520244586,0.7852784031449311,0.2734212268869203,3.7695688811619323,32.36689786121516,4.05655167382503,0.6797247103862434,1763,133,True
1,1,0.16285396302564473,0.4440195894593265,0.5464514361692558,2.2169293986392775,4.330989800281777,1.7574571484845394,0.2022886222749158,1073,8,True
4,1,0.3919375638194121,0.9442068219800182,0.11711861695448252,1.19449830568974,26.311440406145113,4.770346809968572,0.39197291989512184,4358,175,True
3,0,0.0010175588337197894,0.6453162344154588,0.9078035304721103,0.534025640883364,14.358261266145341,8.475497533622011,0.8702683570551994,854,18,True
4,0,0.3919375638194121,0.9442068219800182,0.11711861695448252,1.19449830568974,26.311440406145113,4.770346809968572,0.39197291989512184,6365,369,True
1,0,0.16285396302564473,0.4440195894593265,0.5464514361692558,2.2169293986392775,4.330989800281777,1.7574571484845394,0.2022886222749158,1684,18,True
3,1,0.0010175588337197894,0.6453162344154588,0.9078035304721103,0.534025640883364,14.358261266145341,8.475497533622011,0.8702683570551994,1066,85,True
0,1,0.28508717520244586,0.7852784031449311,0.2734212268869203,3.7695688811619323,32.36689786121516,4.05655167382503,0.6797247103862434,4201,4,True
2,0,0.4167267974042588,0.5367184710692684,0.6399401924472183,4.155919174083478,45.42365542613836,7.810136425355774,0.48650291710700155,1834,7,True
2,1,0.4167267974042588,0.5367184710692684,0.6399401924472183,4.155919174083478,45.42365542613836,7.810136425355774,0.48650291710700155,2855,22,True
